input1,input1.1,input1.2,input1.3,input1.4,output1_delay4sec,output2_delay4sec,output3_delay4sec,output4_delay4sec,output5_delay4sec,output6_delay4sec,output7_delay4sec
44.52554,2.90234,700.125,1.025205,-8.22147,1642.2,14.478,16.683,527.06,118.02,585.11,494.01
44.82249,3.15744,700.125,1.02061,-8.29213,1645.8,14.484,16.612,520.51,122.32,585.02,493.69
44.68246,3.45253,700.125,1.024985,-8.36007,1395.1,14.409,16.519,490.37,129.11,585.75,493.12
44.28794,3.4906,700.125,1.02039,-8.42811,1564.6,14.47,16.637,497.39,127.26,586.64,494.34
43.64097,3.71612,700.125,1.019485,-8.49742,1389.4,14.415,16.945,475.28,127.14,589.68,495.86
43.28619,4.14059,700.125,1.01929,-8.56456,1562.9,14.476,16.728,483.93,129.48,588.55,495.58
42.87775,4.25393,700.125,1.019185,-8.6358,1595.7,14.488,16.67,481.65,132.29,588.68,495.65
42.41376,4.75365,700.125,1.01693,-8.70856,1596.1,14.493,16.833,474.44,132.86,590.16,496.54
42.15999,4.91423,700.125,1.0173,-8.7708,1595.3,14.495,16.798,468.31,134.93,590.74,496.89
41.67348,5.16821,700.125,1.01919,-8.84081,1685.2,14.522,16.885,474.33,135.86,591.62,497.59
41.37848,5.48397,700.125,1.01763,-8.91114,1663.5,14.52,16.921,465.43,136.92,592.66,498.21
40.98971,5.71844,700.125,1.013805,-8.98145,1574.1,14.501,16.97,445.78,138.83,594.13,498.87
40.49093,5.76705,700.125,1.013155,-9.04892,1635.0,14.52,16.986,448.29,139.61,595.02,499.59
40.17569,6.09241,700.125,1.01767,-9.11885,1799.0,14.56,16.83,470.97,141.24,594.72,499.76
39.80648,6.48933,700.125,1.01552,-9.1895,1824.7,14.568,16.632,471.57,144.11,594.68,499.76
39.40668,6.39922,700.125,1.020745,-9.2607,1615.0,14.525,16.791,428.03,144.89,597.61,501.1
38.97161,6.95827,700.125,1.01306,-9.33148,1701.5,14.549,16.704,436.27,145.77,598.38,501.77
38.6463,7.20908,700.125,1.01431,-9.39793,1472.1,14.495,16.649,394.91,148.75,600.19,502.39
38.31267,7.35918,700.125,1.012765,-9.46718,1800.6,14.576,16.356,443.21,149.35,599.43,502.59
37.54944,7.53617,700.125,1.01197,-9.53517,1736.3,14.566,16.299,426.03,150.58,600.96,503.42
37.20409,7.72445,700.125,1.01066,-9.60554,1802.7,14.582,16.102,432.98,152.29,601.27,503.76
36.83562,8.06578,700.125,1.00835,-9.6783,1836.1,14.592,15.691,435.26,156.25,601.01,503.52
36.5218,8.35532,700.125,1.014855,-9.7477,1898.6,14.606,15.495,440.57,157.91,601.49,503.96
36.066,8.51433,700.125,1.010635,-9.80903,2028.5,14.628,15.294,454.14,159.06,602.03,504.53
35.73662,8.79276,700.125,1.01092,-9.8796,1679.9,14.569,15.364,389.81,160.41,605.6,506.12
35.33491,9.21916,700.125,1.011915,-9.95083,1881.3,14.611,15.003,421.25,162.66,604.6,505.84
35.01681,9.01292,700.125,1.011745,-10.02152,1859.2,14.61,14.871,411.75,163.99,605.93,506.65
34.4982,9.63646,700.125,1.009295,-10.09181,1799.2,14.603,14.743,395.32,165.17,607.78,507.73
34.12587,9.84628,700.125,1.0062,-10.16083,1805.8,14.605,14.481,393.2,168.6,607.59,507.63
33.8883,9.62172,700.125,1.006575,-10.22836,1933.8,14.63,14.241,406.55,169.37,608.45,508.4
33.39784,10.27026,700.125,1.008935,-10.29868,2144.0,14.656,13.98,429.1,171.04,608.11,508.57
33.08594,10.54979,700.125,1.007755,-10.36797,2113.4,14.654,13.779,422.18,174.21,608.18,508.63
32.63761,10.68747,700.125,1.010205,-10.43791,1940.2,14.638,13.673,391.79,175.14,610.94,510.1
32.29923,10.88197,700.125,1.0054,-10.50777,2013.1,14.649,13.515,395.94,176.34,611.62,510.75
31.90815,11.12847,700.125,1.0097,-10.53804,1852.1,14.63,13.334,368.7,179.5,613.1,511.41
31.86103,11.10204,700.125,1.00627,-10.53828,2185.4,14.668,13.066,407.01,180.85,611.83,511.36
31.91983,11.00216,700.125,1.01034,-10.53825,1873.3,14.637,13.018,364.61,182.95,613.96,512.1
31.89967,11.10304,700.125,1.010175,-10.53825,2112.5,14.663,12.898,396.47,182.94,612.21,511.5
31.79531,11.11324,700.125,1.00756,-10.53825,1836.5,14.631,13.01,359.68,183.61,613.95,511.98
31.89975,11.00347,700.125,1.011435,-10.53833,1845.2,14.633,13.02,360.56,183.2,614.09,512.11
32.31242,10.92581,700.125,1.006485,-10.70192,2015.2,14.654,12.899,384.57,183.46,612.68,511.58
32.60452,11.67614,700.125,1.002095,-10.89615,1775.6,14.621,13.029,350.14,183.85,614.38,512.11
32.93751,11.49214,700.125,1.00513,-11.0922,2085.7,14.664,13.088,380.13,183.12,615.62,513.94
33.39003,11.72405,700.125,1.00489,-11.28752,2460.6,14.69,13.3,400.63,179.28,619.3,517.58
33.64225,11.97872,700.125,1.004915,-11.48493,2165.4,14.68,13.493,355.2,181.39,624.31,520.64
34.0722,11.94635,700.125,1.002675,-11.67727,2170.5,14.685,13.774,339.14,180.16,629.07,524.27
34.45275,12.21855,700.125,1.00849,-11.87535,2153.5,14.688,13.956,321.75,180.24,633.56,527.7
35.22252,12.16553,700.125,1.01274,-12.06542,2344.9,14.7,14.112,326.88,180.02,636.67,530.4
35.53914,12.49546,700.125,0.99862,-12.26515,1857.2,14.673,14.52,260.29,181.2,643.84,535.18
35.97278,12.29454,700.125,0.99931,-12.44998,1609.1,14.641,15.038,214.9,181.0,649.97,539.65
36.33716,12.85687,700.125,0.99868,-12.64882,2723.6,14.716,14.915,317.44,175.51,649.5,540.94
36.57042,12.91447,700.125,1.003,-12.84557,2633.4,14.718,15.109,297.69,177.3,653.31,543.72
37.08393,13.04111,700.125,1.0,-13.04446,2684.3,14.722,15.417,287.99,174.75,658.66,548.12
37.40879,13.3543,700.125,1.00449,-13.23525,2223.1,14.719,15.654,236.59,178.65,664.23,551.98
