in1,in2,in3,in4,in1,in2,,,
-10.162,29.037,2000,170.57,1418.9,2436.9,,,
-96.649,28.923,2000,170.77,1403.2,2436.4,,,
-94.379,28.597,2000,170.02,1394.3,2435.6,,,
-83.239,28.175,2000,170.1,1360.5,2434.2,,,
-79.278,27.751,2000,171.48,1353,2430.9,,,
-74.776,27.8,2000,171.65,1340.1,2431.4,,,
-66.062,27.735,2000,165.9,1301.1,2437,,,
-59.702,27.531,2000,169.64,1293.2,2432.9,,,
-60.912,26.812,2000,170.95,1301.8,2427.9,,,
-55.536,26.471,2000,171.46,1289.6,2426,,,
-54.066,26.003,2000,171.08,1286.3,2424.1,,,
-41.293,26.262,2000,165.96,1240.7,2431.1,,,
-38.007,25.752,2000,170.4,1245,2424.6,,,
-30.732,25.948,2000,170.28,1226.4,2426.2,,,
-28.153,25.136,2000,171.34,1226.9,2421.2,,,
-29.874,24.905,2000,172.71,1235.2,2418.6,,,
-21.703,24.715,2000,166.37,1204.6,2424.1,,,
-0.54958,24.518,2000,170.08,1182.3,2420.8,,,
-0.29061,24.38,2000,170.95,1180.7,2419.4,,,
0.023126,23.989,2000,171.93,1180.9,2416.7,,,
0.90268,23.948,2000,168.08,1160.8,2420.7,,,
11.485,23.305,2000,168.5,1164.8,2417.2,,,
18.542,22.902,2000,171.52,1164.6,2412.8,,,
2.278,22.617,2000,171.49,1161.5,2411.7,,,
22.746,22.616,2000,168.44,1156.5,2414.5,,,
36.572,22.728,2000,169.95,1139.1,2414.6,,,
37.042,22.356,2000,172.99,1145.4,2409.9,,,
34.787,22.13,2000,166.21,1138.6,2414.9,,,
30.401,22.101,2000,172.62,1156.3,2408.5,,,
30.638,22.4,2000,166.37,1143.8,2415.9,,,
2.738,22.811,2000,170,1151.3,2414.4,,,
18.004,23.516,2000,172.86,1161.5,2414.7,,,
12.306,23.761,2000,167.03,1156.4,2421,,,
0.69996,24.167,2000,169.82,1164.7,2420.1,,,
-0.40979,24.037,2000,172.1,1188,2416.5,,,
-0.14637,24.174,2000,169.92,1178.1,2419.4,,,
-0.98219,24.711,2000,167.69,1183.9,2423.7,,,
-12.398,24.994,2000,172.33,1196.3,2420.6,,,
-14.238,25.299,2000,171.08,1195.3,2423.3,,,
-20.987,25.516,2000,166.45,1198.2,2428.2,,,
-32.408,25.426,2000,170.05,1232.3,2423.6,,,
-31.161,25.387,2000,170.73,1231.2,2422.8,,,
-39.035,26.413,2000,172.19,1248.9,2426.2,,,
-52.199,26.163,2000,171.54,1282,2424.6,,,
-53.463,26.868,2000,165.34,1268.1,2434,,,
-61.761,26.864,2000,171.1,1304.3,2428,,,
-58.644,27.561,2000,171.98,1295.9,2430.9,,,
-66.285,27.704,2000,168.55,1308.3,2434.4,,,
-66.937,27.787,2000,168.85,1310.7,2434.5,,,
-76.857,27.784,2000,170.83,1344.1,2431.9,,,
-78.823,28.591,2000,171.13,1349.1,2435.6,,,
-92.275,28.682,2000,168.85,1384.5,2437.3,,,
-96.681,28.6,2000,171.23,1404.8,2434.3,,,
-97.576,28.946,2000,171.51,1408.1,2435.8,,,
-10.932,29.093,2000,165.81,1432.3,2441.1,,,
-11.109,29.794,2000,169.74,1448.9,2440.9,,,
-11.592,29.985,2000,171.64,1471,2439.8,,,
-12.091,30.134,2000,171.01,1487,2440.8,,,
-12.678,30.668,2000,169.76,1504.6,2444.3,,,
-13.405,30.408,2000,171.76,1533.9,2440.5,,,
-13.965,30.702,2000,164.78,1534.3,2448.2,,,
-14.37,31.476,2000,168.55,1555.2,2448.4,,,
-14.724,31.602,2000,168.68,1564.6,2448.7,,,
-15.638,31.43,2000,171.22,1590.4,2444.7,,,
-15.701,31.907,2000,171.62,1591.4,2446.8,,,
-16.546,32.565,2000,171.8,1603.7,2449.4,,,
-16.997,32.713,2000,169.67,1605.6,2451.9,,,
-17.465,33.267,2000,170.2,1610.8,2453.9,,,
-18.011,33.333,2000,170.84,1618.2,2453.3,,,
-18.742,33.224,2000,170.54,1626.6,2452.5,,,
-18.593,33.484,2000,169.08,1621.9,2455.3,,,
-18.886,33.939,2000,167.8,1622.1,2458.7,,,
-19.74,34.255,2000,168.78,1632.8,2458.8,,,
-20.944,34.472,2000,171.1,1647.6,2456.8,,,
-21.257,34.964,2000,169.46,1646.1,2460.7,,,
-21.686,34.927,2000,170.44,1649.9,2459.3,,,
-21.592,35.295,2000,170.82,1649.1,2460.9,,,
-23.019,35.784,2000,169.63,1645.3,2463.5,,,
-23.753,35.922,2000,170.08,1640.6,2463.2,,,
-24.039,36.359,2000,170.01,1635.8,2465.4,,,
-24.198,36.362,2000,169.67,1633.5,2465.6,,,
-24.404,36.648,2000,168.7,1628.1,2467.8,,,
-25.398,36.68,2000,169.89,1616.2,2466.1,,,
-26.281,37.178,2000,170.03,1598.5,2467.8,,,
-26.849,37.709,2000,170.46,1585.3,2469.6,,,
-26.885,37.893,2000,170.71,1583.9,2470.3,,,
-27.565,37.901,2000,171.36,1570.7,2469.1,,,
-28.627,38.254,2000,170.51,1542.6,2470.6,,,
-29.062,38.596,2000,170.51,1530,2471.8,,,
-28.995,38.865,2000,170.75,1530.4,2473.1,,,
-29.4,38.91,2000,170.59,1519.9,2473,,,
-30.739,39.297,2000,171.2,1485.1,2472.2,,,
-31.06,39.447,2000,165.7,1465.5,2477.8,,,
-31.343,39.616,2000,169.45,1464.5,2474.3,,,
-31.953,40.369,2000,170.24,1446,2476,,,
-32.704,40.294,2000,172.04,1430.9,2471.2,,,
-32.87,40.912,2000,171.63,1422.3,2474.5,,,
-33.949,40.728,2000,169.05,1391.7,2471,,,
-34.213,40.666,2000,167.24,1382.3,2471,,,
-33.839,42.49,2000,172.5,1390.9,2478,,,
-34.883,42.334,2000,170.68,1362.9,2472.3,,,
-35.616,42.266,2000,167.09,1339,2469.8,,,
-35.641,42.139,2000,172.96,1349.8,2461.4,,,
-35.607,41.565,2000,168.41,1345.4,2463.8,,,
-35.633,42.021,2000,167.39,1340.5,2467.7,,,
-35.992,41.893,2000,172.01,1340.9,2457.1,,,
-35.546,42.187,2000,171.96,1350,2463.9,,,
-35.512,42.152,2000,166.8,1341.6,2470.4,,,
-35.592,42.07,2000,171.69,1349,2463.1,,,
-35.502,42.264,2000,171.37,1349.6,2465.6,,,
-35.097,42.114,2000,167.29,1352.7,2473.3,,,
-34.02,40.562,2000,169.95,1392.6,2468.6,,,
-33.768,40.144,2000,172.98,1406.9,2464.2,,,
-33.33,39.697,1999.9,168.93,1412.9,2468.5,,,
-32.987,39.469,2000,168.14,1421.4,2469.5,,,
-31.938,39.397,2000,171.63,1454.9,2469.3,,,
-32.358,38.837,2000,171.61,1447.6,2464.8,,,
-31.17,38.328,2000,165.96,1470.2,2471.2,,,
-30.58,37.61,2000,170.95,1499.3,2463.7,,,
-30.355,37.495,2000,171.14,1506.1,2463.3,,,
