in1,in2,in3,in4,in5,in6,in7,in8,out1,out2,out3,out4,out5,out6,out7,out8,,,,,,,,
19.245,-11.998,39.905,21.284,264.73,82.571,0.47627,10.164,1.24E+05,590.23,647.91,253.01,393.66,14.154,5616.8,17.484,,,,,,,,
19.189,-12.091,48.076,2.223,264.37,82.975,0.48256,10.177,1.10E+05,587.78,645.96,261.51,400.1,14.153,5445.4,17.376,,,,,,,,
19.126,-12.373,45.968,24.531,263.94,83.043,0.47971,10.212,1.23E+05,592.78,650.02,267.33,373.53,14.14,5122.1,18.087,,,,,,,,
19.05,-12.375,44.569,2.658,263.59,83.514,0.47845,1.023,1.22E+05,592.48,649.47,269.85,374.99,14.127,4975.1,18.252,,,,,,,,
19.001,-12.705,44.863,29.167,262.94,83.654,0.47465,10.168,1.37E+05,597.51,653.33,270.76,376.81,14.166,5457.6,18.062,,,,,,,,
18.935,-12.751,37.949,31.142,262.58,83.828,0.47177,1.019,1.44E+05,599.12,654.83,271.33,366.28,14.154,5279.9,18.474,,,,,,,,
18.862,-12.84,39.231,31.324,262.11,84.167,0.47639,10.235,1.39E+05,598.76,654.05,279.34,359.72,14.131,4871.6,18.807,,,,,,,,
18.805,-13.123,47.326,32.891,261.63,84.42,0.47087,10.246,1.54E+05,601.71,657.09,285.79,344.16,14.129,4751.3,19.312,,,,,,,,
18.736,-13.216,43.847,36.854,261.34,84.464,0.47337,10.258,1.58E+05,602.51,657.88,290.5,340.03,14.124,4634.1,19.471,,,,,,,,
18.678,-13.498,36.961,36.809,260.68,84.789,0.46965,1.02,1.73E+05,607.13,661.62,288.38,343.96,14.163,5079.2,19.25,,,,,,,,
18.605,-13.5,39.123,40.298,260.28,85.179,0.46699,10.257,1.76E+05,605.96,661.16,295.07,331.74,14.126,4618.3,19.951,,,,,,,,
18.55,-13.83,44.912,42.822,259.85,85.547,0.46542,10.288,1.91E+05,608.66,664.11,306.44,313.33,14.111,4332.1,20.537,,,,,,,,
18.484,-13.876,41.785,42.771,259.42,85.6,0.46495,10.257,1.95E+05,609.53,664.65,304.26,321.33,14.133,4568.4,20.319,,,,,,,,
18.417,-13.965,26.518,43.993,259.05,86.042,0.46583,10.266,2.02E+05,610.84,665.98,304.6,318.72,14.127,4478,20.537,,,,,,,,
18.348,-14.248,46.467,48.275,258.45,86.183,0.46657,10.224,2.08E+05,612.34,666.99,315.59,328.41,14.162,4760.9,20.14,,,,,,,,
