in1,in2,in3,in4,out1,out2,,,
-14.839,36.33,3000,602.44,2632.1,1925.3,,,
-15.25,36.673,3000,599.47,2628.3,1930,,,
-15.642,36.967,3000,595.39,2622.3,1935.2,,,
-15.663,37.621,3000,599.22,2628,1935.3,,,
-16.2,37.426,3000,598.84,2633.6,1936.5,,,
-16.659,36.965,3000,599.21,2641.1,1936.3,,,
-17.463,37.37,3000,600.27,2650.5,1941.6,,,
-18.26,37.164,3000,598.23,2656,1947.4,,,
-18.817,37.106,3000,602.69,2671.8,1950.4,,,
-19.186,37.754,3000,602.4,2673.4,1955.5,,,
-19.386,37.506,3000,597.84,2667.3,1957.9,,,
-20.335,37.641,3000,597.42,2677.3,1966.9,,,
-20.931,37.923,3000,599.04,2686,1972.6,,,
-21.159,38.037,3000,599.58,2689,1974.7,,,
-22.485,38.287,3000,598.98,2694.7,1984.9,,,
-22.474,38.37,3000,600.66,2697.8,1984.7,,,
-23.037,38.384,3000,596.83,2689.3,1988.3,,,
-23.445,38.985,3000,601.06,2692.8,1990.4,,,
-24.277,38.697,3000,599.9,2680.8,1992,,,
-24.352,38.918,3000,601.43,2681.5,1992.2,,,
-25.113,39.292,3000,600.32,2659.4,1993.5,,,
-25.526,39.351,3000,600.52,2648,1993.2,,,
-25.964,39.546,3000,598.33,2627.8,1993.6,,,
-26.353,39.659,3000,597.32,2611.6,1993.1,,,
-27.475,39.604,3000,596.52,2570.9,1988.2,,,
-27.653,39.462,3000,603.41,2582.9,1983.2,,,
-27.722,40.163,3000,601.56,2570.2,1985.4,,,
-28.981,39.936,3000,600.76,2525.2,1973.7,,,
-29.487,40.191,3000,594.85,2490.9,1972.4,,,
-29.945,40.525,3000,597.57,2479.3,1964.7,,,
-30.586,40.424,3000,597.91,2459.1,1953.7,,,
-31.462,40.853,3000,599.59,2430.9,1935.5,,,
-31.72,40.683,3000,601.1,2427.2,1927.8,,,
-32.08,42.389,3000,592.64,2382.7,1931.8,,,
-32.645,42.654,3000,597.69,2374.8,1912.4,,,
-32.68,42.584,3000,602.22,2385.1,1906.1,,,
-32.896,42.786,3000,603.48,2379.8,1899.3,,,
-33.694,42.49,3000,599.91,2347.9,1881.2,,,
-33.833,42.458,3000,598.66,2340.7,1878.7,,,
-34.074,42.502,3000,598.71,2332.9,1872,,,
-35.129,42.601,3000,599.31,2300.6,1842.3,,,
-35.164,42.547,3000,599.29,2299.8,1841.2,,,
-35.416,42.208,3000,598.26,2291.8,1834.9,,,
-35.537,42.36,3000,599.11,2289,1831.1,,,
-35.416,42.246,3000,598.02,2291,1835.2,,,
-35.243,42.517,3000,603.58,2307.7,1834.9,,,
-35.236,42.409,3000,598.67,2297.1,1839.7,,,
-35.369,42.446,3000,599.37,2294.3,1835.5,,,
-35.408,42.465,3000,598.32,2290.5,1835.5,,,
-35.331,42.518,3000,601.49,2300,1834.5,,,
-35.028,42.592,3000,603.95,2314.8,1840.4,,,
-34.904,42.48,3000,598.59,2306.8,1849,,,
-34.538,42.456,3000,599.7,2321,1857.9,,,
-34.084,42.081,3000.1,609,2360.2,1859.9,,,
-33.586,40.695,2999.9,605.64,2377.7,1874.8,,,
-32.9,40.537,3000,603.93,2396.7,1894.9,,,
-32.862,39.801,3000,600.41,2394.6,1898.8,,,
-32.247,39.42,3000,600.32,2417.2,1913.9,,,
-31.509,39.204,3000,603.99,2452.1,1926.8,,,
-31.019,39.328,3000,597.87,2452.5,1943.5,,,
-30.175,38.877,3000,598.92,2487.2,1956.5,,,
-30.267,38.502,3000,600.8,2491.5,1952.6,,,
-29.535,38.44,3000,603.28,2523.6,1961.5,,,
-28.355,38.339,3000,604.63,2569.7,1974,,,
-28.662,37.711,3000,601.76,2556.6,1971.2,,,
-27.954,37.491,2999.9,601.1,2582.2,1977.4,,,
-27.104,37.291,3000,596.43,2602.6,1984.5,,,
