Filename,Input,Output,CrossCorr2,PolyRegre2,LinRegre2,ARXM2,LSTM2
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_8sec_shift_noise_filt,[ -56741.68172555   56229.22629465 4143871.4314675   352238.19035279],[6874.65660771  761.44005516 2000.83185573    0.        ],[  47423.72764548   -1578.78234123    2110.85682675 -160465.94002699],[2.71237702 1.17464037 1.00602761 0.45172902],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_10sec_shift,[ -56742.14477189   56229.68515904 4143905.24795734  352241.06482884],[   0.          775.33057476 2000.84757848    0.        ],[ 93218.53675925  -1630.79716328   2597.17279283 218078.0454642 ],[ 0.02864531 13.70437495  1.0009196  22.33525294],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_10sec_shift_noise,[ -56742.37312047   56229.91144532 4143921.92436045  352242.4823598 ],[   0.          775.67396123 2000.84501871    0.        ],[  90358.96148987   -1630.5874005     2216.00337896 -423105.2309162 ],[-0.07563524 26.13161311  1.00060776 -0.6101522 ],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_10sec_shift_filt,[ -56739.98949335   56227.54934563 4143747.84696245  352227.68539791],[   0.          775.36008889 2000.8424674     0.        ],[ 103348.66328319   -1633.49205873    2264.75132066 -543165.77494336],[ -1.40599423 -27.21554316   0.99163231  -2.15536255],0
cleaned_transformed_ds1.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_10sec_shift_noise_filt,[ -56739.50820503   56227.07240401 4143712.6982521   352224.69768019],[   0.          775.2946895  2000.84223661    0.        ],[  93376.90816209   -1634.82695804    2214.16188424 -226431.32824901],[ -1.38418783 -11.88726299   0.9938078   -1.96300201],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_0sec,[ -61443.85176444   60182.68625327 6686760.14828873 1337312.22108136],[10364.08099643     0.          3002.00680817   634.66360102],[-3956.26415512  1680.71106277  3022.79122261  -809.64428568],[0.81484263 1.17283952 1.00009277 0.9777495 ],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out2_0sec,[ -44844.49392194   43924.03845771 4880299.1058734   976030.76708041],[ 762.90371606  789.26113833 3001.47836401  698.96844091],[-4446.3607939  -2030.42975218  2851.90541826  2511.05105216],[0.86087946 0.94511717 0.99958054 1.19896612],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_2sec_shift,[ -61445.78612473   60184.58090986 6686970.65923421 1337354.32201721],[   0.            0.         3001.5986489   633.64652255],[-3798.14442226  1660.98749825  3048.41541034  1394.75412611],[1.31593882 0.18766408 0.99969013 0.96315289],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_2sec_shift_noise,[ -61445.27411658   60184.07941094 6686914.93883958 1337343.17827001],[   0.            0.         3001.5933177   633.65168077],[-3801.56066993  1662.14396819  3048.00455364  1393.49668369],[ 1.33825315 -0.10883122  0.99969516  0.96301925],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_2sec_shift_filt,[ -61445.66363276   60184.4609321  6686957.32877997 1337351.65600573],[   0.            0.         3001.66881648  633.61351487],[-3800.81419622  1661.42060575  3036.90699951  1476.81181116],[ 0.75112723 -0.60523646  0.99954933  1.11876641],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_2sec_shift_noise_filt,[ -61445.68486663   60184.48173014 6686959.63960241 1337352.11815646],[   0.            0.         3001.65270922  633.60953178],[-3801.01036086  1660.07321936  3036.90428517  1473.58086967],[ 0.76213195 -0.74886199  0.99953238  1.1186521 ],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_4sec_shift,[ -61446.85326291   60185.62614451 6687086.7928563  1337377.54805025],[   0.            0.         3001.75883206  633.4664026 ],[-3543.08450007  1648.58259534  3046.62838887  1095.8312244 ],[2.39475726 0.72796542 0.99809861 1.62571093],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_4sec_shift_noise,[ -61446.79993073   60185.57390699 6687080.98886617 1337376.38728678],[   0.            0.         3001.75911178  633.48530821],[-3537.84181902  1649.11835076  3045.27966053  1097.96884457],[2.26086916 0.72489604 0.99497746 1.70371229],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_4sec_shift_filt,[ -61446.75930123   60185.53411143 6687076.56727248 1337375.50299436],[   0.            0.         3001.70072717  633.71628671],[-3531.05000793  1641.20256567  3051.64680143  1097.49654843],[1.29480736 1.14447846 1.00228448 0.79224416],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_4sec_shift_noise_filt,[ -61446.86361456   60185.63628368 6687087.91939715 1337377.77335171],[   0.            0.         3001.70344472  633.71316483],[-3529.95729967  1641.84199519  3051.6435656   1097.86260082],[1.27442593 1.14857071 1.0021262  0.79672872],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_6sec_shift,[ -61448.07068283   60186.81857627 6687219.28121329 1337404.0449329 ],[   0.            0.         3001.58263633  634.38588335],[-3204.74609089  1596.8667596   3061.62351183   960.68339501],[14.83753933  3.55049041  1.00041738  0.36933174],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_6sec_shift_noise,[ -61447.79570507   60186.54924257 6687189.35616431 1337398.06010126],[   0.            0.         3001.58210273  634.3546208 ],[-3203.31908589  1595.87652784  3063.48838416   960.48712871],[8.36804041 4.58727556 1.00044073 0.37339704],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_6sec_shift_filt,[ -61448.04091615   60186.78942057 6687216.04179    1337403.39706753],[   0.            0.         3001.58566426  634.35265703],[-3202.17702235  1600.16371202  3071.55106145   955.02893039],[ 1.8131305   1.13787667  1.00292717 -0.87500123],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_6sec_shift_noise_filt,[ -61447.71386224   60186.4690796  6687180.44944043 1337396.27880951],[   0.            0.         3001.58898754  634.34346883],[-3190.4694367   1600.98137953  3070.31451897   954.92026789],[ 1.7736639   1.12002616  1.00297584 -0.39786373],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_8sec_shift,[ -61448.55599631   60187.29392846 6687272.09650396 1337414.6076766 ],[   0.            0.         3001.42851509  634.68696081],[-2877.5330635   1558.77762067  3122.67079964   869.06227846],[-9.07147195  2.74116338  1.00357139  0.68040898],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_8sec_shift_noise,[ -61449.26273754   60187.98616347 6687349.0091474  1337429.98974741],[   0.            0.         3001.42321645  634.68164791],[-2874.92078684  1558.95983477  3118.0327417    869.06413726],[-12.80838891   2.62310637   1.00812164   0.64639531],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_8sec_shift_filt,[ -61448.49320195   60187.23242299 6687265.2627719  1337413.24097088],[   0.            0.         3001.45582316  634.89706358],[-2880.66675498  1560.70622794  3110.05080327   874.33398249],[ 2.23439958  3.1677022   0.99666282 -3.42194469],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_8sec_shift_noise_filt,[ -61447.98605922   60186.7356896  6687210.07186591 1337402.20311825],[   0.            0.         3001.45517074  634.89816344],[-2881.49328977  1559.98019827  3110.82662937   874.30277008],[ 2.23134703  4.84125342  0.99668996 -5.42973438],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_10sec_shift,[ -61447.82113242   60186.57414802 6687192.12335076 1337398.61352207],[   0.            0.         3001.35343528  636.02910296],[-2632.24745766  1536.90353349  3104.3541751    831.00860811],[0.15157303 0.78554374 1.00110355 1.13708941],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_10sec_shift_noise,[ -61448.27437067   60187.01808332 6687241.44798398 1337408.47815507],[   0.            0.         3001.35330061  636.04280759],[-2633.47556646  1537.40109768  3101.02115768   831.37188858],[0.13204943 0.78056552 1.00090659 1.15317826],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_10sec_shift_filt,[ -61445.83315164   60184.62697153 6686975.7770398  1337355.34554786],[   0.            0.         3001.39341166  635.8296524 ],[-2633.369774    1532.99343711  3156.92143626   829.9149454 ],[-0.0262383   0.48939239  1.00283631  1.5823434 ],0
cleaned_transformed_ds2.csv,"Index(['in1', 'in2', 'in3', 'in4'], dtype='object')",out1_10sec_shift_noise_filt,[ -61446.92269435   60185.69415083 6687094.34888289 1337379.05921058],[   0.            0.         3001.39412777  635.83946358],[-2625.98638023  1532.89418902  3156.07342387   830.21657952],[-0.0021451   0.46791309  1.00269482  1.56775025],0
