in1,in2,in3,in4,out1,out2,,
-23.378,35.579,4400,307.81,2104.7,1947.4,,
-24.488,36.204,4400,303.77,2058.5,1952.4,,
-25.285,36.859,4400,302.43,2027.8,1955.4,,
-25.979,37.097,4400,305.43,2012.8,1952.4,,
-26.028,37.371,4400,307.12,2013.3,1952.1,,
-26.243,37.826,4400,306.12,2002,1954.7,,
-27.65,37.67,4400,302.54,1954.6,1952.7,,
-28.257,38.085,4400,303.18,1936,1951.4,,
-28.915,38.453,4400,305.32,1919.7,1947.3,,
-29.217,38.721,4400,305.71,1910.3,1946.2,,
-29.542,38.828,4400,306.51,1902.2,1943.4,,
-30.026,39.157,4400,306.09,1885.7,1941.3,,
-30.747,39.775,4400,305.29,1860,1938.1,,
-31.51,39.801,4400,306.06,1840.3,1927.1,,
-31.461,40.271,4400,303.31,1832.9,1934.4,,
-32.153,40.454,4400,302.62,1811.3,1925.8,,
-33.012,40.385,4400,305.07,1793.3,1906.4,,
-33.469,40.46,4400,306.39,1783.1,1896,,
-34.006,41.042,4400,305.38,1762.9,1890.3,,
-34.047,42.167,4400,306.21,1756.8,1895.9,,
-35.072,42.151,4400,306.26,1729.3,1874.2,,
-34.893,42.471,4400,303.54,1726.7,1883.7,,
-34.962,42.504,4400,303.8,1725.2,1882.1,,
-35.379,42.432,4400,304.29,1715.4,1872.3,,
-34.867,42.44,4400,303.69,1727.8,1883.9,,
-34.635,42.544,4400,304.43,1735,1888.5,,
-35.167,42.455,4400,307.61,1727.8,1872.4,,
-34.874,42.35,4400,306.99,1735,1878.6,,
-34.707,42.362,4400,303.64,1732.5,1886.8,,
-34.927,42.545,4400,303.09,1724.4,1884.1,,
-34.862,42.27,4400,303.52,1728.6,1883.1,,
-35.035,42.242,4400,305.69,1728.6,1876.3,,
-34.692,40.144,4400,307.16,1753.3,1867.9,,
-34.412,40.345,4400,305.72,1756.7,1876.8,,
-33.382,39.974,4400,302.74,1780.8,1899.6,,
-32.993,39.731,4400,304.21,1795.9,1903.6,,
-32.32,39.034,4400,304.04,1818.3,1911.7,,
-31.232,38.644,4400,307.94,1859,1921.5,,
-30.783,38.611,4400,306.3,1868.3,1929.4,,
-31.55,38.418,4400,303.53,1842.2,1921.1,,
-30.177,37.38,4400,304.05,1888,1931.8,,
-29.347,37.046,4400,303.77,1912.9,1938.1,,
-29.293,36.693,4400,304.72,1918.7,1935.5,,
-28.56,36.259,4400,308.01,1949.4,1935.1,,
-27.929,35.924,4400,306.14,1965.5,1938.9,,
-27.532,35.695,4400,303.6,1972.7,1942.1,,
-27.245,35.087,4400,302.95,1983.4,1940.9,,
-26.676,34.576,4400,304.85,2007.3,1938.6,,
-26.011,34.516,4400,304.11,2025.5,1941,,
-25.176,33.684,4400,307.32,2062.5,1936.1,,
-24.951,33.743,4400,306.34,2066.6,1937.7,,
-24.486,32.838,4400,303.07,2078.9,1937.1,,
-23.785,32.523,4400,303.52,2102.9,1936.3,,
-23.351,32.196,4400,304.6,2120.6,1934.4,,
-23.048,31.705,4400,306.45,2137.3,1930.9,,
-22.031,31.418,4400,307.69,2173.2,1929.6,,
-21.684,31.068,4400,304.24,2178.3,1931.2,,
