in1,in2,in3,in4,in5,in6,out1,out2,out3,out4,out5,out6,out7,out8,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
54.492,113.91,2299.9,39.146,72.561,0.96556,12269.0,14.031,80.549,20.538,3040000.0,775.54,672.59,418.26,,,,,,,,,
55.527,107.49,2300.0,40.278,69.215,0.9644,12317.0,14.041,80.734,17.987,3040000.0,778.37,676.37,401.88,,,,,,,,,
56.299,99.492,2299.9,41.292,66.155,0.96347,12411.0,14.043,80.075,14.768,3060000.0,779.51,677.32,392.93,,,,,,,,,
56.28,101.37,2300.0,41.006,66.795,0.96336,12414.0,14.045,80.537,15.619,3050000.0,780.03,678.27,392.6,,,,,,,,,
55.061,115.41,2300.2,39.181,72.252,0.96537,12136.0,14.048,8.194,21.759,3000000.0,778.72,677.65,401.78,,,,,,,,,
53.334,130.97,2300.1,36.947,79.162,0.96663,12133.0,14.035,8.295,29.284,3000000.0,775.48,674.06,429.85,,,,,,,,,
51.919,143.21,2300.1,3.471,85.884,0.96745,12180.0,14.023,8.374,36.151,3020000.0,772.81,670.81,455.13,,,,,,,,,
50.353,154.75,2300.1,3.247,92.576,0.9693,12065.0,14.01,84.162,42.944,3010000.0,769.27,666.11,478.68,,,,,,,,,
48.606,167.65,2300.2,30.244,99.257,0.97078,12052.0,13.993,84.685,50.919,3010000.0,765.25,660.78,510.24,,,,,,,,,
46.493,179.06,2300.1,2.803,10.592,0.97221,12162.0,13.962,84.281,57.764,3050000.0,759.05,651.84,557.82,,,,,,,,,
44.625,191.44,2300.0,25.858,11.246,0.97304,12304.0,13.936,84.412,66.556,3080000.0,754.33,645.32,602.92,,,,,,,,,
43.596,202.55,2300.1,2.367,11.899,0.97313,12392.0,13.926,85.443,76.819,3100000.0,753.34,644.36,624.83,,,,,,,,,
42.148,211.2,2300.1,21.433,12.571,0.97368,12502.0,13.904,85.316,85.057,3130000.0,749.69,639.44,662.12,,,,,,,,,
40.045,219.5,2300.1,19.162,13.251,0.97506,12556.0,13.869,84.351,93.402,3170000.0,742.9,631.28,721.52,,,,,,,,,
38.413,226.73,2300.0,16.906,13.928,0.97523,12710.0,13.839,84.009,103.04,3230000.0,738.04,626.87,774.96,,,,,,,,,
37.548,234.18,2300.0,14.668,14.6,0.97587,12625.0,13.832,84.599,114.33,3230000.0,737.01,627.21,791.7,,,,,,,,,
36.218,242.47,2300.1,12.473,15.261,0.97861,12220.0,13.824,84.827,128.95,3180000.0,734.16,626.8,816.45,,,,,,,,,
34.34,251.96,2300.1,10.271,15.921,0.98128,11878.0,13.806,84.833,149.95,3150000.0,729.19,625.72,873.73,,,,,,,,,
32.677,261.51,2300.1,0.8003,16.601,0.9831,11645.0,13.789,85.083,175.23,3140000.0,725.35,625.77,932.89,,,,,,,,,
